state,district,enrollment_ratio,biometric_ratio,demographic_ratio,dominant_type,dominance_score,dominance_strength,operational_meaning
Delhi,Central Delhi,0.036,0.563,0.401,Biometric,0.563,Mixed Demand,General Service Load
Delhi,East Delhi,0.039,0.511,0.45,Biometric,0.511,Mixed Demand,General Service Load
Delhi,Najafgarh,0.02,0.852,0.128,Biometric,0.852,Strong Dominant,Maintenance Burden
Delhi,New Delhi,0.141,0.587,0.272,Biometric,0.587,Mixed Demand,General Service Load
Delhi,North Delhi,0.035,0.487,0.478,Biometric,0.487,Mixed Demand,General Service Load
Delhi,North East,0.03,0.783,0.187,Biometric,0.783,Strong Dominant,Maintenance Burden
Delhi,North East Delhi,0.039,0.589,0.372,Biometric,0.589,Mixed Demand,General Service Load
Delhi,North West Delhi,0.024,0.582,0.394,Biometric,0.582,Mixed Demand,General Service Load
Delhi,Shahdara,0.04,0.235,0.725,Demographic,0.725,Strong Dominant,General Service Load
Delhi,South Delhi,0.032,0.559,0.409,Biometric,0.559,Mixed Demand,General Service Load
Delhi,South East Delhi,0.022,0.405,0.573,Demographic,0.573,Mixed Demand,General Service Load
Delhi,South West Delhi,0.031,0.517,0.453,Biometric,0.517,Mixed Demand,General Service Load
Delhi,West Delhi,0.044,0.511,0.445,Biometric,0.511,Mixed Demand,General Service Load
Maharashtra,Ahilyanagar,0.004,0.362,0.633,Demographic,0.633,Strong Dominant,General Service Load
Maharashtra,Ahmadnagar,0.023,0.643,0.335,Biometric,0.643,Strong Dominant,Maintenance Burden
Maharashtra,Ahmed Nagar,0.025,0.623,0.351,Biometric,0.623,Strong Dominant,Maintenance Burden
Maharashtra,Akola,0.021,0.744,0.235,Biometric,0.744,Strong Dominant,Maintenance Burden
Maharashtra,Amravati,0.017,0.768,0.215,Biometric,0.768,Strong Dominant,Maintenance Burden
Maharashtra,Aurangabad,0.039,0.671,0.29,Biometric,0.671,Strong Dominant,Maintenance Burden
Maharashtra,Beed,0.026,0.636,0.338,Biometric,0.636,Strong Dominant,Maintenance Burden
Maharashtra,Bhandara,0.016,0.701,0.283,Biometric,0.701,Strong Dominant,Maintenance Burden
Maharashtra,Bid,0.025,0.583,0.393,Biometric,0.583,Mixed Demand,General Service Load
Maharashtra,Buldana,0.019,0.637,0.344,Biometric,0.637,Strong Dominant,Maintenance Burden
Maharashtra,Buldhana,0.022,0.667,0.311,Biometric,0.667,Strong Dominant,Maintenance Burden
Maharashtra,Chandrapur,0.015,0.662,0.323,Biometric,0.662,Strong Dominant,Maintenance Burden
Maharashtra,Chatrapati Sambhaji Nagar,0.03,0.317,0.652,Demographic,0.652,Strong Dominant,General Service Load
Maharashtra,Chhatrapati Sambhajinagar,0.036,0.463,0.502,Demographic,0.502,Mixed Demand,General Service Load
Maharashtra,Dharashiv,0.022,0.529,0.449,Biometric,0.529,Mixed Demand,General Service Load
Maharashtra,Dhule,0.047,0.722,0.231,Biometric,0.722,Strong Dominant,Maintenance Burden
Maharashtra,Gadchiroli,0.013,0.746,0.241,Biometric,0.746,Strong Dominant,Maintenance Burden
Maharashtra,Gondia,0.012,0.608,0.379,Biometric,0.608,Strong Dominant,Maintenance Burden
Maharashtra,Gondiya,0.018,0.604,0.378,Biometric,0.604,Strong Dominant,Maintenance Burden
Maharashtra,Gondiya *,0.013,0.572,0.415,Biometric,0.572,Mixed Demand,General Service Load
Maharashtra,Hingoli,0.036,0.548,0.416,Biometric,0.548,Mixed Demand,General Service Load
Maharashtra,Hingoli *,0.036,0.929,0.036,Biometric,0.929,Strong Dominant,Maintenance Burden
Maharashtra,Jalgaon,0.025,0.726,0.249,Biometric,0.726,Strong Dominant,Maintenance Burden
Maharashtra,Jalna,0.023,0.715,0.263,Biometric,0.715,Strong Dominant,Maintenance Burden
Maharashtra,Kolhapur,0.021,0.665,0.314,Biometric,0.665,Strong Dominant,Maintenance Burden
Maharashtra,Latur,0.022,0.644,0.334,Biometric,0.644,Strong Dominant,Maintenance Burden
Maharashtra,Mumbai,0.03,0.738,0.232,Biometric,0.738,Strong Dominant,Maintenance Burden
Maharashtra,Mumbai City,0.032,0.518,0.449,Biometric,0.518,Mixed Demand,General Service Load
Maharashtra,Mumbai Suburban,0.05,0.5,0.45,Biometric,0.5,Mixed Demand,General Service Load
Maharashtra,Mumbai( Sub Urban ),0.034,0.683,0.282,Biometric,0.683,Strong Dominant,Maintenance Burden
Maharashtra,Nagpur,0.025,0.685,0.29,Biometric,0.685,Strong Dominant,Maintenance Burden
