state,district,pressure_index,pressure_tier,total_volume,monthly_growth_rate,volatility
Delhi,Central Delhi,0.094,Stable,123072,0.007,5786.414
Delhi,East Delhi,0.198,Stable,308648,0.013,13283.135
Delhi,Najafgarh,0.021,Stable,1842,-0.106,130.82
Delhi,New Delhi,0.034,Stable,11960,0.127,510.687
Delhi,North Delhi,0.105,Stable,144416,0.022,6150.379
Delhi,North East,0.077,Stable,71929,0.157,5640.403
Delhi,North East   *,0.038,Stable,5,0.5,0.707
Delhi,North East Delhi,0.216,Stable,335965,-0.016,15578.763
Delhi,North West Delhi,0.476,Moderate Stress,767561,-0.033,39052.981
Delhi,Shahdara,0.057,Stable,45768,0.215,2469.114
Delhi,South Delhi,0.305,Stable,486454,-0.038,23275.057
Delhi,South East Delhi,0.037,Stable,3156,0.404,216.46
Delhi,South West Delhi,0.216,Stable,343698,-0.015,14567.023
Delhi,West Delhi,0.317,Stable,485418,-0.028,27007.085
Maharashtra,Ahilyanagar,0.08,Stable,5989,1.611,1517.889
Maharashtra,Ahmadnagar,0.481,Moderate Stress,677486,0.247,49645.054
Maharashtra,Ahmed Nagar,0.052,Stable,16791,0.533,1631.501
Maharashtra,Ahmednagar,0.023,Stable,368,0.0,
Maharashtra,Akola,0.202,Stable,289080,0.093,16244.726
Maharashtra,Amravati,0.327,Stable,495520,0.131,27329.416
Maharashtra,Aurangabad,0.351,Moderate Stress,529019,0.121,30492.784
Maharashtra,Beed,0.322,Stable,471756,0.217,27917.656
Maharashtra,Bhandara,0.125,Stable,157470,0.131,9619.886
Maharashtra,Bid,0.048,Stable,30610,0.122,2595.128
Maharashtra,Buldana,0.09,Stable,73964,0.465,6604.062
Maharashtra,Buldhana,0.289,Stable,384351,0.217,29319.918
Maharashtra,Chandrapur,0.27,Stable,368855,0.152,26180.147
Maharashtra,Chatrapati Sambhaji Nagar,0.043,Stable,8728,0.46,569.118
Maharashtra,Chhatrapati Sambhajinagar,0.083,Stable,34209,1.208,2560.952
Maharashtra,Dharashiv,0.067,Stable,9309,1.227,720.104
Maharashtra,Dhule,0.2,Stable,300365,0.074,14358.292
