state,district,month,age_0_5,age_5_17,age_18_plus,total
Delhi,Central Delhi,2025-03,0,2018,2872,4890
Delhi,Central Delhi,2025-04,0,5628,5728,11356
Delhi,Central Delhi,2025-05,0,5276,8060,13336
Delhi,Central Delhi,2025-06,0,2423,4540,6963
Delhi,Central Delhi,2025-07,0,2125,4285,6410
Delhi,Central Delhi,2025-08,0,1640,3154,4794
Delhi,Central Delhi,2025-09,0,2571,3836,6407
Delhi,Central Delhi,2025-10,0,1673,2768,4441
Delhi,Central Delhi,2025-11,0,1779,2534,4313
Delhi,Central Delhi,2025-12,0,2468,2699,5167
Delhi,Central Delhi,2026-01,0,533,732,1265
Delhi,East Delhi,2025-03,0,7895,12081,19976
Delhi,East Delhi,2025-04,0,11593,9661,21254
Delhi,East Delhi,2025-05,0,7784,12162,19946
Delhi,East Delhi,2025-06,0,5313,10447,15760
Delhi,East Delhi,2025-07,0,4902,9666,14568
Delhi,East Delhi,2025-08,0,4861,6830,11691
Delhi,East Delhi,2025-09,0,7662,9414,17076
Delhi,East Delhi,2025-10,0,4473,7013,11486
Delhi,East Delhi,2025-11,0,3469,5399,8868
Delhi,East Delhi,2025-12,0,7143,7480,14623
Delhi,East Delhi,2026-01,0,1144,1218,2362
Delhi,Najafgarh,2025-04,0,20,418,438
Delhi,Najafgarh,2025-05,0,30,359,389
Delhi,Najafgarh,2025-06,0,6,102,108
Delhi,Najafgarh,2025-07,0,0,114,114
Delhi,Najafgarh,2025-08,0,2,123,125
Delhi,Najafgarh,2025-09,0,5,114,119
Delhi,Najafgarh,2025-10,0,4,79,83
Delhi,Najafgarh,2025-11,0,9,75,84
Delhi,Najafgarh,2025-12,0,6,94,100
Delhi,Najafgarh,2026-01,0,0,10,10
Delhi,New Delhi,2025-03,0,422,270,692
Delhi,New Delhi,2025-04,0,992,618,1610
Delhi,New Delhi,2025-05,0,365,359,724
Delhi,New Delhi,2025-06,0,202,377,579
Delhi,New Delhi,2025-07,0,218,406,624
Delhi,New Delhi,2025-08,0,170,227,397
Delhi,New Delhi,2025-09,0,365,325,690
Delhi,New Delhi,2025-10,0,200,293,493
Delhi,New Delhi,2025-11,0,203,279,482
Delhi,New Delhi,2025-12,0,321,314,635
Delhi,New Delhi,2026-01,0,55,39,94
Delhi,North Delhi,2025-03,0,2556,4420,6976
Delhi,North Delhi,2025-04,0,4752,4834,9586
Delhi,North Delhi,2025-05,0,3107,4907,8014
Delhi,North Delhi,2025-06,0,2112,4413,6525
Delhi,North Delhi,2025-07,0,2306,5045,7351
Delhi,North Delhi,2025-08,0,2233,3738,5971
Delhi,North Delhi,2025-09,0,3561,4918,8479
Delhi,North Delhi,2025-10,0,1754,3042,4796
Delhi,North Delhi,2025-11,0,1891,3002,4893
Delhi,North Delhi,2025-12,0,3582,3915,7497
Delhi,North Delhi,2026-01,0,140,172,312
Delhi,North East,2025-03,0,162,3786,3948
Delhi,North East,2025-04,0,974,21291,22265
Delhi,North East,2025-05,0,96,2482,2578
Delhi,North East,2025-06,0,201,4327,4528
Delhi,North East,2025-07,0,201,4121,4322
Delhi,North East,2025-08,0,210,4246,4456
Delhi,North East,2025-09,0,316,4592,4908
Delhi,North East,2025-10,0,128,2522,2650
Delhi,North East,2025-11,0,165,2574,2739
Delhi,North East,2025-12,0,217,3202,3419
Delhi,North East,2026-01,0,37,445,482
Delhi,North East   *,2025-06,0,0,2,2
Delhi,North East   *,2025-09,0,0,1,1
Delhi,North East Delhi,2025-03,0,12208,11804,24012
Delhi,North East Delhi,2025-04,0,21540,14778,36318
Delhi,North East Delhi,2025-05,0,16101,16086,32187
Delhi,North East Delhi,2025-06,0,6815,8949,15764
Delhi,North East Delhi,2025-07,0,6589,7892,14481
Delhi,North East Delhi,2025-08,0,6906,7361,14267
Delhi,North East Delhi,2025-09,0,9150,8987,18137
Delhi,North East Delhi,2025-10,0,6266,7508,13774
Delhi,North East Delhi,2025-11,0,4922,5951,10873
Delhi,North East Delhi,2025-12,0,9742,7206,16948
Delhi,North East Delhi,2026-01,0,555,470,1025
Delhi,North West Delhi,2025-03,0,24983,48938,73921
Delhi,North West Delhi,2025-04,0,34023,47942,81965
Delhi,North West Delhi,2025-05,0,18427,32759,51186
Delhi,North West Delhi,2025-06,0,11926,24516,36442
Delhi,North West Delhi,2025-07,0,11362,22781,34143
Delhi,North West Delhi,2025-08,0,11154,19791,30945
Delhi,North West Delhi,2025-09,0,19782,25686,45468
Delhi,North West Delhi,2025-10,0,9550,16199,25749
Delhi,North West Delhi,2025-11,0,10063,15245,25308
Delhi,North West Delhi,2025-12,0,17692,20268,37960
Delhi,North West Delhi,2026-01,0,1471,1938,3409
Delhi,Shahdara,2025-03,0,292,608,900
Delhi,Shahdara,2025-04,0,523,810,1333
Delhi,Shahdara,2025-05,0,304,797,1101
Delhi,Shahdara,2025-06,0,387,938,1325
Delhi,Shahdara,2025-07,0,355,890,1245
Delhi,Shahdara,2025-08,0,203,613,816
Delhi,Shahdara,2025-09,0,245,784,1029
Delhi,Shahdara,2025-10,0,158,665,823
Delhi,Shahdara,2025-11,0,179,611,790
Delhi,Shahdara,2025-12,0,317,1005,1322
Delhi,Shahdara,2026-01,0,32,50,82
Delhi,South Delhi,2025-03,0,12687,17817,30504
Delhi,South Delhi,2025-04,0,23976,28631,52607
Delhi,South Delhi,2025-05,0,15578,24348,39926
Delhi,South Delhi,2025-06,0,8507,15625,24132
Delhi,South Delhi,2025-07,0,7860,14432,22292
Delhi,South Delhi,2025-08,0,7638,12513,20151
