state,district,month,age_0_5,age_5_17,age_18_plus,total
Delhi,Central Delhi,2025-03,0,695,8678,9373
Delhi,Central Delhi,2025-04,0,932,8203,9135
Delhi,Central Delhi,2025-05,0,681,6032,6713
Delhi,Central Delhi,2025-06,0,262,2850,3112
Delhi,Central Delhi,2025-07,0,473,3346,3819
Delhi,Central Delhi,2025-09,0,509,3109,3618
Delhi,Central Delhi,2025-10,0,190,2099,2289
Delhi,Central Delhi,2025-11,0,382,4510,4892
Delhi,Central Delhi,2025-12,0,481,5668,6149
Delhi,Central Delhi,2026-01,0,18,226,244
Delhi,East Delhi,2025-03,0,2021,17024,19045
Delhi,East Delhi,2025-04,0,4888,21678,26566
Delhi,East Delhi,2025-05,0,2774,15850,18624
Delhi,East Delhi,2025-06,0,1637,10734,12371
Delhi,East Delhi,2025-07,0,3242,16370,19612
Delhi,East Delhi,2025-09,0,1320,7799,9119
Delhi,East Delhi,2025-10,0,542,4876,5418
Delhi,East Delhi,2025-11,0,998,11482,12480
Delhi,East Delhi,2025-12,0,1067,13977,15044
Delhi,East Delhi,2026-01,0,73,672,745
Delhi,Najafgarh,2025-09,0,2,47,49
Delhi,Najafgarh,2025-10,0,0,32,32
Delhi,Najafgarh,2025-11,0,3,61,64
Delhi,Najafgarh,2025-12,0,1,87,88
Delhi,Najafgarh,2026-01,0,0,2,2
Delhi,New Delhi,2025-03,0,126,695,821
Delhi,New Delhi,2025-06,0,44,321,365
Delhi,New Delhi,2025-09,0,52,324,376
Delhi,New Delhi,2025-10,0,23,221,244
Delhi,New Delhi,2025-11,0,78,549,627
Delhi,New Delhi,2025-12,0,72,690,762
Delhi,New Delhi,2026-01,0,16,48,64
Delhi,North Delhi,2025-03,0,806,9622,10428
Delhi,North Delhi,2025-04,0,1381,12495,13876
Delhi,North Delhi,2025-05,0,961,7647,8608
Delhi,North Delhi,2025-06,0,692,6084,6776
Delhi,North Delhi,2025-07,0,982,7194,8176
Delhi,North Delhi,2025-09,0,561,3529,4090
Delhi,North Delhi,2025-10,0,254,2295,2549
Delhi,North Delhi,2025-11,0,449,5209,5658
Delhi,North Delhi,2025-12,0,636,7314,7950
Delhi,North Delhi,2026-01,0,104,765,869
Delhi,North East,2025-03,0,34,4255,4289
Delhi,North East,2025-09,0,92,1659,1751
Delhi,North East,2025-10,0,54,1061,1115
Delhi,North East,2025-11,0,91,2602,2693
Delhi,North East,2025-12,0,64,3354,3418
Delhi,North East,2026-01,0,15,185,200
Delhi,North East Delhi,2025-03,0,2031,13996,16027
Delhi,North East Delhi,2025-04,0,4736,17073,21809
Delhi,North East Delhi,2025-05,0,3596,13000,16596
Delhi,North East Delhi,2025-06,0,2102,10287,12389
Delhi,North East Delhi,2025-07,0,3220,12600,15820
Delhi,North East Delhi,2025-09,0,1394,5793,7187
Delhi,North East Delhi,2025-10,0,541,4112,4653
Delhi,North East Delhi,2025-11,0,1259,11301,12560
Delhi,North East Delhi,2025-12,0,1600,15125,16725
Delhi,North East Delhi,2026-01,0,118,1044,1162
Delhi,North West Delhi,2025-03,0,4459,42532,46991
Delhi,North West Delhi,2025-04,0,8632,50689,59321
Delhi,North West Delhi,2025-05,0,5747,35233,40980
Delhi,North West Delhi,2025-06,0,3813,24912,28725
Delhi,North West Delhi,2025-07,0,6669,32474,39143
Delhi,North West Delhi,2025-09,0,2747,15055,17802
Delhi,North West Delhi,2025-10,0,1096,9278,10374
Delhi,North West Delhi,2025-11,0,2159,21913,24072
Delhi,North West Delhi,2025-12,0,3008,29367,32375
Delhi,North West Delhi,2026-01,0,276,2370,2646
Delhi,Shahdara,2025-03,0,582,4101,4683
Delhi,Shahdara,2025-04,0,1470,4425,5895
Delhi,Shahdara,2025-05,0,1153,3965,5118
Delhi,Shahdara,2025-06,0,422,2243,2665
