state,district,month,age_0_5,age_5_17,age_18_plus,total
Delhi,Central Delhi,2025-04,80,41,12,133
Delhi,Central Delhi,2025-05,208,105,20,333
Delhi,Central Delhi,2025-06,325,156,24,505
Delhi,Central Delhi,2025-07,773,328,51,1152
Delhi,Central Delhi,2025-09,494,195,36,725
Delhi,Central Delhi,2025-10,295,80,18,393
Delhi,Central Delhi,2025-11,442,128,35,605
Delhi,Central Delhi,2025-12,356,67,8,431
Delhi,Central Delhi,2026-01,79,27,3,109
Delhi,East Delhi,2025-04,676,221,15,912
Delhi,East Delhi,2025-05,969,342,67,1378
Delhi,East Delhi,2025-06,1106,651,46,1803
Delhi,East Delhi,2025-07,1319,504,55,1878
Delhi,East Delhi,2025-09,1578,459,22,2059
Delhi,East Delhi,2025-10,864,201,12,1077
Delhi,East Delhi,2025-11,1211,311,21,1543
Delhi,East Delhi,2025-12,857,145,6,1008
Delhi,East Delhi,2026-01,257,95,4,356
Delhi,Najafgarh,2025-06,0,1,0,1
Delhi,Najafgarh,2025-09,9,5,0,14
Delhi,Najafgarh,2025-10,4,0,0,4
Delhi,Najafgarh,2025-11,8,3,0,11
Delhi,Najafgarh,2025-12,3,1,0,4
Delhi,Najafgarh,2026-01,0,3,0,3
Delhi,New Delhi,2025-06,226,118,55,399
Delhi,New Delhi,2025-07,581,354,156,1091
Delhi,New Delhi,2025-09,40,16,4,60
Delhi,New Delhi,2025-10,21,3,3,27
Delhi,New Delhi,2025-11,39,13,4,56
Delhi,New Delhi,2025-12,29,11,1,41
Delhi,New Delhi,2026-01,6,1,0,7
Delhi,North Delhi,2025-06,589,395,28,1012
Delhi,North Delhi,2025-07,563,309,29,901
Delhi,North Delhi,2025-09,631,250,11,892
Delhi,North Delhi,2025-10,387,116,3,506
Delhi,North Delhi,2025-11,649,182,11,842
Delhi,North Delhi,2025-12,552,112,2,666
Delhi,North Delhi,2026-01,164,52,1,217
Delhi,North East,2025-06,176,101,0,277
Delhi,North East,2025-09,452,163,2,617
Delhi,North East,2025-10,264,90,0,354
Delhi,North East,2025-11,349,115,0,464
Delhi,North East,2025-12,271,55,0,326
Delhi,North East,2026-01,93,37,0,130
Delhi,North East   *,2025-09,2,0,0,2
Delhi,North East Delhi,2025-06,1454,932,16,2402
Delhi,North East Delhi,2025-07,2868,1583,31,4482
Delhi,North East Delhi,2025-09,1472,614,6,2092
Delhi,North East Delhi,2025-10,881,347,3,1231
Delhi,North East Delhi,2025-11,1179,399,9,1587
Delhi,North East Delhi,2025-12,890,201,5,1096
Delhi,North East Delhi,2026-01,245,112,4,361
Delhi,North West Delhi,2025-03,35,15,10,60
Delhi,North West Delhi,2025-04,903,349,54,1306
Delhi,North West Delhi,2025-05,368,251,25,644
Delhi,North West Delhi,2025-06,1745,700,66,2511
Delhi,North West Delhi,2025-07,858,267,46,1171
Delhi,North West Delhi,2025-09,2929,877,74,3880
Delhi,North West Delhi,2025-10,1703,425,41,2169
Delhi,North West Delhi,2025-11,2796,604,68,3468
Delhi,North West Delhi,2025-12,2334,352,13,2699
Delhi,North West Delhi,2026-01,550,169,9,728
Delhi,Shahdara,2025-04,208,98,13,319
Delhi,Shahdara,2025-05,66,47,20,133
Delhi,Shahdara,2025-06,24,29,6,59
Delhi,Shahdara,2025-07,545,239,15,799
Delhi,Shahdara,2025-09,121,55,8,184
Delhi,Shahdara,2025-10,50,18,2,70
Delhi,Shahdara,2025-11,88,38,4,130
Delhi,Shahdara,2025-12,64,24,2,90
Delhi,Shahdara,2026-01,20,11,3,34
Delhi,South Delhi,2025-04,404,137,22,563
Delhi,South Delhi,2025-05,217,88,28,333
Delhi,South Delhi,2025-06,1419,754,83,2256
Delhi,South Delhi,2025-07,794,321,139,1254
Delhi,South Delhi,2025-09,2445,761,73,3279
Delhi,South Delhi,2025-10,1659,392,37,2088
Delhi,South Delhi,2025-11,2440,566,87,3093
Delhi,South Delhi,2025-12,1805,309,50,2164
Delhi,South Delhi,2026-01,431,137,17,585
Delhi,South East Delhi,2025-06,2,1,0,3
Delhi,South East Delhi,2025-09,12,4,1,17
Delhi,South East Delhi,2025-10,2,3,1,6
Delhi,South East Delhi,2025-11,18,1,3,22
Delhi,South East Delhi,2025-12,15,3,0,18
Delhi,South East Delhi,2026-01,2,2,0,4
Delhi,South West Delhi,2025-04,558,209,58,825
Delhi,South West Delhi,2025-05,448,188,48,684
Delhi,South West Delhi,2025-06,737,428,84,1249
Delhi,South West Delhi,2025-07,468,207,29,704
Delhi,South West Delhi,2025-09,1772,505,64,2341
Delhi,South West Delhi,2025-10,1006,233,37,1276
Delhi,South West Delhi,2025-11,1335,328,62,1725
Delhi,South West Delhi,2025-12,1156,198,31,1385
Delhi,South West Delhi,2026-01,221,91,9,321
Delhi,West Delhi,2025-03,146,87,75,308
Delhi,West Delhi,2025-04,1249,440,183,1872
Delhi,West Delhi,2025-05,1411,493,172,2076
Delhi,West Delhi,2025-06,2484,925,325,3734
Delhi,West Delhi,2025-07,3799,1364,189,5352
Delhi,West Delhi,2025-09,2027,571,46,2644
Delhi,West Delhi,2025-10,1117,279,27,1423
Delhi,West Delhi,2025-11,1584,400,60,2044
Delhi,West Delhi,2025-12,1247,224,19,1490
Delhi,West Delhi,2026-01,302,97,8,407
Maharashtra,Ahilyanagar,2025-12,11,1,0,12
Maharashtra,Ahilyanagar,2026-01,11,1,0,12
Maharashtra,Ahmadnagar,2025-04,71,15,10,96
Maharashtra,Ahmadnagar,2025-06,885,859,48,1792
Maharashtra,Ahmadnagar,2025-09,2167,1260,33,3460
Maharashtra,Ahmadnagar,2025-10,1387,337,19,1743
Maharashtra,Ahmadnagar,2025-11,1706,386,66,2158
Maharashtra,Ahmadnagar,2025-12,4182,340,7,4529
Maharashtra,Ahmadnagar,2026-01,1298,253,1,1552
Maharashtra,Ahmed Nagar,2025-06,20,28,0,48
Maharashtra,Ahmed Nagar,2025-09,56,26,0,82
Maharashtra,Ahmed Nagar,2025-10,43,8,0,51
Maharashtra,Ahmed Nagar,2025-11,57,15,0,72
Maharashtra,Ahmed Nagar,2025-12,120,12,0,132
Maharashtra,Ahmed Nagar,2026-01,34,1,0,35
Maharashtra,Ahmednagar,2025-07,182,158,28,368
Maharashtra,Akola,2025-06,700,243,20,963
Maharashtra,Akola,2025-07,390,205,42,637
Maharashtra,Akola,2025-09,1261,241,0,1502
Maharashtra,Akola,2025-10,705,79,4,788
Maharashtra,Akola,2025-11,942,115,3,1060
Maharashtra,Akola,2025-12,720,55,1,776
Maharashtra,Akola,2026-01,315,36,8,359
Maharashtra,Amravati,2025-06,1247,340,29,1616
Maharashtra,Amravati,2025-07,523,148,13,684
Maharashtra,Amravati,2025-09,1841,431,19,2291
Maharashtra,Amravati,2025-10,943,125,17,1085
Maharashtra,Amravati,2025-11,1023,123,45,1191
Maharashtra,Amravati,2025-12,1156,104,6,1266
Maharashtra,Amravati,2026-01,393,42,12,447
Maharashtra,Aurangabad,2025-03,196,103,46,345
Maharashtra,Aurangabad,2025-04,584,154,53,791
Maharashtra,Aurangabad,2025-06,1154,1171,1,2326
Maharashtra,Aurangabad,2025-07,2262,1549,24,3835
Maharashtra,Aurangabad,2025-09,3457,1519,2,4978
Maharashtra,Aurangabad,2025-10,1681,481,4,2166
Maharashtra,Aurangabad,2025-11,2252,663,17,2932
Maharashtra,Aurangabad,2025-12,1903,381,0,2284
Maharashtra,Aurangabad,2026-01,628,299,0,927
Maharashtra,Beed,2025-04,379,52,19,450
Maharashtra,Beed,2025-05,366,63,15,444
Maharashtra,Beed,2025-06,1479,959,93,2531
Maharashtra,Beed,2025-07,1472,739,72,2283
Maharashtra,Beed,2025-09,1545,741,25,2311
Maharashtra,Beed,2025-10,918,221,14,1153
Maharashtra,Beed,2025-11,1265,257,55,1577
Maharashtra,Beed,2025-12,897,90,23,1010
Maharashtra,Beed,2026-01,394,84,0,478
Maharashtra,Bhandara,2025-06,475,22,1,498
Maharashtra,Bhandara,2025-09,596,36,2,634
Maharashtra,Bhandara,2025-10,256,8,2,266
Maharashtra,Bhandara,2025-11,445,8,0,453
Maharashtra,Bhandara,2025-12,548,6,0,554
Maharashtra,Bhandara,2026-01,171,9,0,180
Maharashtra,Bid,2025-06,81,63,0,144
Maharashtra,Bid,2025-09,137,62,0,199
Maharashtra,Bid,2025-10,118,25,0,143
Maharashtra,Bid,2025-11,96,26,0,122
Maharashtra,Bid,2025-12,82,10,0,92
Maharashtra,Bid,2026-01,42,16,0,58
Maharashtra,Buldana,2025-06,171,51,0,222
Maharashtra,Buldana,2025-09,389,67,0,456
Maharashtra,Buldana,2025-10,201,19,0,220
Maharashtra,Buldana,2025-11,180,18,0,198
Maharashtra,Buldana,2025-12,186,13,0,199
Maharashtra,Buldana,2026-01,71,9,0,80
Maharashtra,Buldhana,2025-06,1182,342,46,1570
Maharashtra,Buldhana,2025-07,1103,276,83,1462
Maharashtra,Buldhana,2025-09,1758,456,19,2233
Maharashtra,Buldhana,2025-10,819,119,3,941
Maharashtra,Buldhana,2025-11,847,107,11,965
Maharashtra,Buldhana,2025-12,967,71,13,1051
Maharashtra,Buldhana,2026-01,330,46,42,418
Maharashtra,Chandrapur,2025-04,193,18,10,221
Maharashtra,Chandrapur,2025-06,845,90,22,957
Maharashtra,Chandrapur,2025-07,306,86,11,403
Maharashtra,Chandrapur,2025-09,1204,113,26,1343
Maharashtra,Chandrapur,2025-10,535,33,10,578
Maharashtra,Chandrapur,2025-11,804,49,14,867
Maharashtra,Chandrapur,2025-12,796,45,5,846
Maharashtra,Chandrapur,2026-01,269,12,5,286
Maharashtra,Chatrapati Sambhaji Nagar,2025-06,17,17,3,37
Maharashtra,Chatrapati Sambhaji Nagar,2025-09,34,28,2,64
Maharashtra,Chatrapati Sambhaji Nagar,2025-10,21,20,1,42
Maharashtra,Chatrapati Sambhaji Nagar,2025-11,30,13,15,58
Maharashtra,Chatrapati Sambhaji Nagar,2025-12,24,13,3,40
Maharashtra,Chatrapati Sambhaji Nagar,2026-01,12,7,2,21
Maharashtra,Chhatrapati Sambhajinagar,2025-06,27,30,40,97
Maharashtra,Chhatrapati Sambhajinagar,2025-09,148,171,3,322
Maharashtra,Chhatrapati Sambhajinagar,2025-10,65,65,136,266
Maharashtra,Chhatrapati Sambhajinagar,2025-11,108,80,96,284
Maharashtra,Chhatrapati Sambhajinagar,2025-12,89,47,11,147
Maharashtra,Chhatrapati Sambhajinagar,2026-01,59,28,12,99
Maharashtra,Dharashiv,2025-06,11,7,25,43
Maharashtra,Dharashiv,2025-09,28,14,0,42
Maharashtra,Dharashiv,2025-10,17,6,13,36
Maharashtra,Dharashiv,2025-11,22,7,16,45
Maharashtra,Dharashiv,2025-12,26,1,0,27
Maharashtra,Dharashiv,2026-01,10,1,0,11
Maharashtra,Dhule,2025-05,118,46,18,182
Maharashtra,Dhule,2025-06,1437,1011,244,2692
Maharashtra,Dhule,2025-07,1410,1107,127,2644
Maharashtra,Dhule,2025-09,2028,2152,26,4206
Maharashtra,Dhule,2025-10,781,396,62,1239
Maharashtra,Dhule,2025-11,1041,356,45,1442
Maharashtra,Dhule,2025-12,1007,269,9,1285
Maharashtra,Dhule,2026-01,394,99,3,496
Maharashtra,Gadchiroli,2025-06,302,50,4,356
Maharashtra,Gadchiroli,2025-09,815,148,7,970
Maharashtra,Gadchiroli,2025-10,264,27,1,292
Maharashtra,Gadchiroli,2025-11,399,34,17,450
Maharashtra,Gadchiroli,2025-12,578,46,2,626
Maharashtra,Gadchiroli,2026-01,146,26,9,181
Maharashtra,Gondia,2025-06,4,2,0,6
Maharashtra,Gondia,2025-09,10,1,0,11
Maharashtra,Gondia,2025-10,5,1,0,6
Maharashtra,Gondia,2025-11,6,3,0,9
Maharashtra,Gondia,2025-12,4,0,0,4
Maharashtra,Gondia,2026-01,2,0,0,2
Maharashtra,Gondiya,2025-06,416,22,4,442
Maharashtra,Gondiya,2025-09,1022,58,2,1082
Maharashtra,Gondiya,2025-10,487,10,0,497
Maharashtra,Gondiya,2025-11,666,20,1,687
Maharashtra,Gondiya,2025-12,579,14,3,596
Maharashtra,Gondiya,2026-01,193,5,5,203
Maharashtra,Gondiya *,2025-06,6,2,0,8
Maharashtra,Gondiya *,2025-09,18,1,0,19
Maharashtra,Gondiya *,2025-10,11,1,0,12
Maharashtra,Gondiya *,2025-11,14,1,0,15
Maharashtra,Gondiya *,2025-12,8,1,0,9
Maharashtra,Gondiya *,2026-01,6,0,0,6
Maharashtra,Hingoli,2025-04,913,95,136,1144
Maharashtra,Hingoli,2025-05,246,31,34,311
Maharashtra,Hingoli,2025-06,645,290,38,973
Maharashtra,Hingoli,2025-07,2245,649,112,3006
Maharashtra,Hingoli,2025-09,1009,352,31,1392
Maharashtra,Hingoli,2025-10,489,98,26,613
Maharashtra,Hingoli,2025-11,637,109,11,757
Maharashtra,Hingoli,2025-12,541,60,10,611
Maharashtra,Hingoli,2026-01,196,35,9,240
Maharashtra,Hingoli *,2025-09,1,0,0,1
Maharashtra,Jalgaon,2025-04,360,53,10,423
Maharashtra,Jalgaon,2025-05,506,92,43,641
Maharashtra,Jalgaon,2025-06,1909,760,27,2696
Maharashtra,Jalgaon,2025-07,1065,343,55,1463
Maharashtra,Jalgaon,2025-09,3346,1387,25,4758
Maharashtra,Jalgaon,2025-10,1404,271,11,1686
Maharashtra,Jalgaon,2025-11,1976,219,45,2240
Maharashtra,Jalgaon,2025-12,1751,183,35,1969
Maharashtra,Jalgaon,2026-01,623,110,155,888
Maharashtra,Jalna,2025-06,568,412,6,986
Maharashtra,Jalna,2025-09,1723,504,6,2233
Maharashtra,Jalna,2025-10,896,162,0,1058
Maharashtra,Jalna,2025-11,962,159,9,1130
Maharashtra,Jalna,2025-12,1013,107,2,1122
Maharashtra,Jalna,2026-01,307,98,0,405
Maharashtra,Kolhapur,2025-06,1169,364,19,1552
Maharashtra,Kolhapur,2025-09,1989,470,5,2464
Maharashtra,Kolhapur,2025-10,1349,180,52,1581
Maharashtra,Kolhapur,2025-11,1757,194,14,1965
Maharashtra,Kolhapur,2025-12,1379,133,1,1513
Maharashtra,Kolhapur,2026-01,424,61,0,485
Maharashtra,Latur,2025-04,229,42,23,294
Maharashtra,Latur,2025-06,1165,588,41,1794
Maharashtra,Latur,2025-07,566,225,28,819
Maharashtra,Latur,2025-09,1719,695,30,2444
Maharashtra,Latur,2025-10,962,200,12,1174
Maharashtra,Latur,2025-11,1150,213,38,1401
Maharashtra,Latur,2025-12,815,105,6,926
Maharashtra,Latur,2026-01,350,95,9,454
Maharashtra,Mumbai,2025-06,954,1303,12,2269
Maharashtra,Mumbai,2025-07,537,344,50,931
Maharashtra,Mumbai,2025-09,2758,1496,11,4265
Maharashtra,Mumbai,2025-10,1960,687,4,2651
Maharashtra,Mumbai,2025-11,3215,884,10,4109
Maharashtra,Mumbai,2025-12,2102,436,2,2540
Maharashtra,Mumbai,2026-01,513,255,2,770
Maharashtra,Mumbai City,2025-06,228,188,14,430
Maharashtra,Mumbai City,2025-09,609,188,10,807
Maharashtra,Mumbai City,2025-10,500,69,20,589
Maharashtra,Mumbai City,2025-11,691,94,106,891
Maharashtra,Mumbai City,2025-12,475,73,21,569
Maharashtra,Mumbai City,2026-01,137,37,5,179
Maharashtra,Mumbai Suburban,2025-04,389,109,44,542
Maharashtra,Mumbai Suburban,2025-05,882,457,230,1569
Maharashtra,Mumbai Suburban,2025-06,724,703,50,1477
Maharashtra,Mumbai Suburban,2025-07,3187,2177,207,5571
Maharashtra,Mumbai Suburban,2025-09,2283,848,26,3157
Maharashtra,Mumbai Suburban,2025-10,1492,363,64,1919
Maharashtra,Mumbai Suburban,2025-11,2410,580,140,3130
Maharashtra,Mumbai Suburban,2025-12,1760,351,61,2172
Maharashtra,Mumbai Suburban,2026-01,438,180,15,633
Maharashtra,Mumbai( Sub Urban ),2025-06,34,27,1,62
Maharashtra,Mumbai( Sub Urban ),2025-09,95,26,0,121
Maharashtra,Mumbai( Sub Urban ),2025-10,58,22,0,80
Maharashtra,Mumbai( Sub Urban ),2025-11,117,18,0,135
Maharashtra,Mumbai( Sub Urban ),2025-12,73,14,0,87
Maharashtra,Mumbai( Sub Urban ),2026-01,13,3,0,16
Maharashtra,Nagpur,2025-04,468,50,48,566
Maharashtra,Nagpur,2025-05,243,28,22,293
Maharashtra,Nagpur,2025-06,1751,510,43,2304
Maharashtra,Nagpur,2025-07,904,225,37,1166
Maharashtra,Nagpur,2025-09,3027,501,33,3561
Maharashtra,Nagpur,2025-10,1480,213,12,1705
Maharashtra,Nagpur,2025-11,2200,325,15,2540
Maharashtra,Nagpur,2025-12,1541,124,62,1727
Maharashtra,Nagpur,2026-01,562,65,4,631
Maharashtra,Nanded,2025-04,462,89,56,607
Maharashtra,Nanded,2025-05,383,80,39,502
Maharashtra,Nanded,2025-06,1708,923,68,2699
Maharashtra,Nanded,2025-07,1295,462,46,1803
Maharashtra,Nanded,2025-09,2729,968,10,3707
Maharashtra,Nanded,2025-10,1220,260,52,1532
Maharashtra,Nanded,2025-11,1152,266,77,1495
Maharashtra,Nanded,2025-12,1436,191,30,1657
Maharashtra,Nanded,2026-01,506,137,18,661
Maharashtra,Nandurbar,2025-04,237,35,10,282
Maharashtra,Nandurbar,2025-05,251,134,21,406
Maharashtra,Nandurbar,2025-06,900,481,22,1403
Maharashtra,Nandurbar,2025-07,2031,994,75,3100
Maharashtra,Nandurbar,2025-09,2041,854,63,2958
Maharashtra,Nandurbar,2025-10,1050,240,27,1317
Maharashtra,Nandurbar,2025-11,1123,242,35,1400
Maharashtra,Nandurbar,2025-12,787,95,5,887
Maharashtra,Nandurbar,2026-01,249,82,0,331
Maharashtra,Nandurbar *,2025-06,12,14,0,26
Maharashtra,Nandurbar *,2025-09,45,19,1,65
Maharashtra,Nandurbar *,2025-10,21,6,0,27
Maharashtra,Nandurbar *,2025-11,24,7,0,31
Maharashtra,Nandurbar *,2025-12,18,2,0,20
Maharashtra,Nandurbar *,2026-01,4,3,0,7
